Marque,Modèle,year,road,boite,horsepower,fuel,nbre_portes,cylindrée,Prix
Bmw,628,1985,240 KM,Manuelle,14 CV,Essence,3,19 L,1234
Volvo,V50,2008,246 000 KM,Manuelle,8 CV,Diesel,5,11 L,41500
Ds,AUTRE,2019,118 000 KM,Automatique,10 CV,Essence,5,7 L,1
Opel,Agila,2001,0 KM,Automatique,5 CV,Essence,5,3 L,13
Renault,Clio,2006,157 700 KM,Manuelle,5 CV,Essence,5,3 L,25000
Chevrolet,AVEO,2014,216 000 KM,Manuelle,5 CV,Essence,5,3 L,30000
MG,Zs,2021,73 000 KM,Automatique,7 CV,Essence,5,6 L,74000
Citroen,C3,2018,122 000 KM,Manuelle,4 CV,Essence,5,3 L,36500
Chevrolet,AVEO,2012,108 000 KM,Manuelle,5 CV,Essence,5,5 L,25600
Peugeot,208,2019,90 KM,Manuelle,4 CV,Essence,5,,33
Ford,FIESTA,2016,174 000 KM,Manuelle,5 CV,Essence,5,1 L,36000
Peugeot,207,2010,224 KM,Manuelle,4 CV,Diesel,5,1 L,19
Opel,Astra,1997,290 KM,Manuelle,6 CV,Essence,5,5 L,98470213
Chevrolet,AUTRE,2019,115 000 KM,Manuelle,5 CV,Essence,5,5 L,41000
Fiat,PANDA,1996,63 000 KM,Manuelle,4 CV,Essence,3,1 L,11000
Fiat,PUNTO EVO,2010,164 000 KM,Manuelle,4 CV,Essence,5,3 L,23000
Volkswagen,Golf,2017,130 KM,Manuelle,6 CV,Essence,5,3 L,50
Audi,A4,2013,200 KM,Manuelle,7 CV,Essence,5,9 L,41
Peugeot,Partner,2002,0 KM,Manuelle,5 CV,Essence,5,7 L,22
Volkswagen,Polo,2017,170 000 KM,Manuelle,5 CV,Essence,5,5 L,40000
Kia,PICANTO,2019,114 000 KM,Manuelle,4 CV,Essence,5,,0
Kia,PICANTO,2019,45 000 KM,Manuelle,4 CV,Essence,5,,38
MG,Autres,2021,32 000 KM,Manuelle,6 CV,Essence,5,7 L,51000
MG,Autres,2021,40 000 KM,Automatique,7 CV,Essence,5,5 L,0
Bmw,X4,2021,100 000 KM,Automatique,10 CV,Diesel,5,11 L,200000
Renault,Autres,2021,50 000 KM,Automatique,7 CV,Essence,5,,75
Volkswagen,Golf 7,2018,135 000 KM,Manuelle,6 CV,Essence,5,1 L,70000
Volkswagen,Golf 8,2020,11 000 KM,Manuelle,7 CV,Essence,5,6 L,129000
Volkswagen,Polo,2003,123 878 KM,Manuelle,4 CV,Diesel,5,,1234
Dacia,SANDERO,2021,40 000 KM,Manuelle,5 CV,Essence,5,1 L,111
Citroen,BERLINGO,2020,180 000 KM,Automatique,7 CV,Diesel,5,6 L,111
Volkswagen,Caddy,2011,350 KM,Manuelle,5 CV,Diesel,5,,23500
Ssangyong,Actyon,2012,200 KM,Manuelle,7 CV,Diesel,5,10 L,37000
Fiat,DOBLO,2016,155 000 KM,Manuelle,5 CV,Diesel,3,7 L,21500
Bmw,X4,2021,100 000 KM,Automatique,10 CV,Diesel,5,11 L,200000
Toyota,Yaris,1999,390 000 KM,Manuelle,4 CV,Essence,5,2 L,16000
Isuzu,D MAX,2015,204 KM,Automatique,8 CV,Diesel,5,16 L,0
Peugeot,206,2007,247 000 KM,Manuelle,6 CV,Essence,5,5 L,18
Kia,SPORTAGE,2017,46 000 KM,Manuelle,6 CV,Essence,4,,90000000
Mercedes,190-series,1987,0 KM,Manuelle,7 CV,Diesel,5,,1111111
Audi,A4,2007,200 000 KM,Automatique,13 CV,Essence,5,11 L,29500000
Haval,H6,2020,105 000 KM,Automatique,9 CV,Essence,5,7 L,78000
Citroen,C3,2017,85 000 KM,Manuelle,4 CV,Essence,5,31 L,38000
Opel,Astra,2009,300 000 KM,Manuelle,7 CV,Diesel,5,,23000
Volkswagen,Golf 3,1993,260 431 KM,Manuelle,6 CV,Essence,5,21 L,0
Kia,CERATO,2010,323 000 KM,Manuelle,7 CV,Essence,5,7 L,26000
Fiat,AUTRE,2000,216 000 KM,Manuelle,4 CV,Essence,5,5 L,13000
Tata,TATA XENON X2,2017,70 000 KM,Manuelle,7 CV,Diesel,3,13 L,29000
Volkswagen,Transporter,1988,170 000 KM,Manuelle,7 CV,Diesel,3,,9000
Kia,RIO,2018,144 KM,Manuelle,5 CV,Essence,5,3 L,47500
Renault,Megane,2009,248 000 KM,Manuelle,5 CV,Diesel,5,6 L,29500
Peugeot,308,2020,130 000 KM,Manuelle,5 CV,Diesel,5,6 L,57000
Citroen,AUTRE,2016,180 KM,Manuelle,5 CV,Essence,5,3 L,24
Mercedes,Classe Cla,2021,51 000 KM,Manuelle,7 CV,Diesel,5,10 L,140000
Chery,QQ,2017,96 000 KM,Manuelle,4 CV,Essence,5,1 L,20000
Mercedes,Classe Cla,2016,52 000 KM,Automatique,8 CV,Essence,5,,135000
Dacia,LOGAN MCV,2019,113 KM,Manuelle,5 CV,Essence,5,5 L,44000
Kia,RIO,2014,169 000 KM,Manuelle,5 CV,Essence,5,3 L,29
Ford,FIESTA,2017,83 000 KM,Manuelle,5 CV,Essence,5,1 L,38000
MG,Zs,2021,25 000 KM,Manuelle,7 CV,Essence,5,6 L,68500
Volkswagen,Gol,2020,98 KM,Manuelle,6 CV,Essence,5,1 L,0
Mahindra,KUV 100,2020,55 KM,Manuelle,5 CV,Essence,5,3 L,32000
Volkswagen,Golf 8,2021,70 500 KM,Automatique,8 CV,Essence,5,6 L,125000
Peugeot,206,2010,242 000 KM,Manuelle,5 CV,Essence,5,,23500
Mercedes,Classe C,2005,170 000 KM,Automatique,9 CV,Diesel,5,13 L,37000
Bmw,118,2010,144 000 KM,Automatique,8 CV,Essence,5,9 L,32000
Citroen,C5,2009,300 KM,Manuelle,6 CV,Diesel,5,7 L,21500
Ssangyong,Actyon,2012,200 000 KM,Manuelle,7 CV,Diesel,5,10 L,39000
Volkswagen,Fox,1991,90 KM,Manuelle,5 CV,Essence,3,,6000
Opel,Kadett,1990,180 000 KM,Manuelle,5 CV,Essence,5,1 L,6500
Bmw,SERIE 2,2021,46 000 KM,Automatique,8 CV,Diesel,4,,130000
Opel,Corsa,2017,200 000 KM,Manuelle,5 CV,Essence,5,3 L,29000
Fiat,500 C,2014,100 000 KM,Manuelle,4 CV,Essence,3,3 L,38000
Renault,Master,2010,410 000 KM,Manuelle,9 CV,Diesel,3,,14500
Suzuki,Swift,2019,170 000 KM,Manuelle,7 CV,Diesel,4,,30000
Citroen,C3,2017,19 000 KM,Manuelle,9 CV,Essence,5,3 L,36500
Dacia,AUTRE,2014,122 093 KM,Manuelle,5 CV,Essence,5,21 L,40000
Renault,Megane,2003,100 KM,Manuelle,6 CV,Essence,5,5 L,19500
Kia,RIO,2020,89 537 KM,Manuelle,5 CV,Essence,5,21 L,55000
Bmw,316,2003,269 000 KM,Manuelle,7 CV,Essence,3,7 L,17
Citroen,C5,2009,406 000 KM,Manuelle,6 CV,Diesel,5,7 L,31000
Kia,SPORTAGE,2020,0 KM,Manuelle,7 CV,Diesel,5,11 L,0
Ford,FOCUS,2016,219 400 KM,Manuelle,6 CV,Essence,5,1 L,35
Fiat,DOBLO,2003,20 000 KM,Manuelle,8 CV,Diesel,3,,9000
Renault,Megane,2006,159 000 KM,Manuelle,5 CV,Diesel,5,,20
Citroen,DS5,2017,117 000 KM,Automatique,9 CV,Essence,5,11 L,55
Haval,H6,2020,93 000 KM,Automatique,9 CV,Essence,5,,74000
Fiat,AUTRE,2006,157 000 KM,Manuelle,5 CV,Essence,5,7 L,22000
Peugeot,208,2019,56 KM,Manuelle,4 CV,Essence,5,,34
Peugeot,206,2008,123 000 KM,Manuelle,6 CV,Essence,5,3 L,16500
Volkswagen,Golf 7,2015,150 000 KM,Manuelle,5 CV,Essence,5,3 L,55000
Kia,RIO,2022,36 000 KM,Manuelle,5 CV,Essence,5,1 L,75
Kia,RIO,2012,230 000 KM,Manuelle,6 CV,Essence,5,5 L,26000
Citroen,C3,2020,84 000 KM,Manuelle,4 CV,Essence,5,3 L,1234
Kia,SPORTAGE,2017,163 000 KM,Automatique,8 CV,Essence,5,7 L,1234
Peugeot,3008,2019,180 000 KM,Manuelle,7 CV,Diesel,5,7 L,1234
Kia,SPORTAGE,2020,100 000 KM,Automatique,7 CV,Hybride,5,8 L,1234
Kia,RIO,2017,110 000 KM,Manuelle,5 CV,Essence,5,3 L,1234
Volkswagen,Polo,2023,15 000 KM,Automatique,+20 CV,Essence,5,1 L,105000
Opel,Corsa,2016,145 000 KM,Manuelle,5 CV,Essence,5,,28500
Kia,RIO,2018,66 552 KM,Manuelle,5 CV,Essence,5,3 L,51000
Kia,RIO,2018,66 552 KM,Manuelle,5 CV,Essence,5,3 L,51000
Peugeot,106,1996,200 000 KM,Manuelle,4 CV,Essence,3,2 L,9000
Fiat,PALIO WEEKEND,2006,210 KM,Manuelle,4 CV,Essence,5,1 L,17500
Opel,Astra,2003,200 000 KM,Manuelle,4 CV,Essence,5,1 L,12800
Peugeot,3008,2010,230 KM,Manuelle,7 CV,Essence,5,7 L,34
Kia,CARENS,2016,277 000 KM,Automatique,8 CV,Diesel,5,8 L,36
Fiat,PUNTO,2017,137 000 KM,Manuelle,5 CV,Essence,5,5 L,28000
Peugeot,407,2005,160 000 KM,Manuelle,6 CV,Diesel,5,7 L,18
Mahindra,KUV 100,2021,30 000 KM,Manuelle,5 CV,Essence,5,21 L,30000
Renault,Megane,2007,1 000 KM,Manuelle,7 CV,Essence,5,7 L,26500
Ford,FOCUS,2011,378 000 KM,Manuelle,6 CV,Essence,3,21 L,0
Volkswagen,Passat,2010,332 000 KM,Manuelle,7 CV,Essence,5,7 L,34000
Bmw,520,2017,137 000 KM,Automatique,9 CV,Essence,5,7 L,102000
Bmw,X4,2021,100 000 KM,Automatique,10 CV,Diesel,5,11 L,220000
Dacia,SANDERO,2013,168 000 KM,Manuelle,5 CV,Essence,5,3 L,21000
Fiat,DOBLO,2015,350 KM,Manuelle,5 CV,Diesel,5,4 L,18000
Ford,FIESTA,1998,120 KM,Manuelle,5 CV,Essence,5,5 L,11500
Mercedes,Classe A,2020,60 000 KM,Automatique,7 CV,Essence,5,9 L,107000
Opel,Signum,2002,200 KM,Manuelle,4 CV,Essence,5,3 L,2
Peugeot,207,2009,80 000 KM,Manuelle,6 CV,Essence,5,5 L,30
Peugeot,206,2004,270 KM,Manuelle,4 CV,Essence,5,3 L,17400
Skoda,Fabia,2023,8 000 KM,Manuelle,4 CV,Essence,5,,65000
Peugeot,508,2011,211 000 KM,Manuelle,6 CV,Diesel,5,7 L,40000
Hyundai,I10,2022,40 000 KM,Manuelle,5 CV,Essence,5,3 L,49500
Seat,Ibiza,2019,70 000 KM,Manuelle,4 CV,Essence,5,1 L,1234
Fiat,GRANDE PUNTO,2008,79 000 KM,Manuelle,5 CV,Essence,5,3 L,27000
Peugeot,207,2007,157 KM,Manuelle,6 CV,Essence,5,5 L,25
Renault,Master,2016,80 KM,Manuelle,11 CV,Diesel,3,,0
Volkswagen,Golf 7,2013,135 KM,Manuelle,5 CV,Essence,5,3 L,51
Volkswagen,Golf,2014,159 000 KM,Manuelle,5 CV,Essence,5,3 L,48000
Chery,QQ,2018,90 000 KM,Manuelle,4 CV,Essence,5,,23
Fiat,GRANDE PUNTO,2015,117 000 KM,Manuelle,4 CV,Essence,5,3 L,28000
Kia,CEED,2010,238 500 KM,Manuelle,5 CV,Essence,5,4 L,39000
Suzuki,Baleno,2024,9 000 KM,Manuelle,6 CV,Essence,5,6 L,19
Peugeot,Partner,2011,189 000 KM,Manuelle,7 CV,Diesel,5,10 L,23500
Volkswagen,Golf,2010,270 KM,Manuelle,7 CV,Essence,5,3 L,39000000
Volkswagen,Polo,1996,1 222 222 KM,Manuelle,5 CV,Essence,5,5 L,12000
Volkswagen,Caddy,2010,157 500 KM,Manuelle,9 CV,Diesel,5,10 L,0
Volkswagen,Vento,2014,3 000 KM,Manuelle,6 CV,Diesel,5,,11000
Peugeot,305,2018,158 000 KM,Manuelle,5 CV,Essence,5,4 L,30000
Fiat,AUTRE,2006,232 000 KM,Manuelle,5 CV,Essence,3,7 L,18000
Ford,RANGER,2013,182 000 KM,Manuelle,7 CV,Diesel,5,13 L,50
Volkswagen,Golf 7,2020,65 000 KM,Manuelle,6 CV,Essence,5,1 L,70000
Mazda,BT 50,2018,200 000 KM,Manuelle,9 CV,Diesel,5,16 L,57000
Mazda,BT 50,2018,200 000 KM,Manuelle,9 CV,Diesel,5,16 L,57000
Renault,Megane,2006,0 KM,Manuelle,5 CV,Diesel,5,,18800
Chevrolet,AVEO,2021,12 KM,Automatique,6 CV,Diesel,3,18 L,12
Kia,PICANTO,2021,97 000 KM,Manuelle,5 CV,Essence,5,3 L,45000
Renault,Megane,2006,0 KM,Manuelle,5 CV,Diesel,5,,18300
Porsche,Cayenne,2022,24 500 KM,Automatique,+20 CV,Hybride,5,21 L,447000
Kia,RIO,2018,180 000 KM,Manuelle,5 CV,Essence,5,6 L,40000
Volkswagen,Golf,2010,287 000 KM,Manuelle,7 CV,Essence,5,7 L,35000
Toyota,Auris,2012,280 KM,Manuelle,5 CV,Diesel,5,5 L,30
Citroen,BERLINGO,2007,0 KM,Manuelle,7 CV,Diesel,5,7 L,14000
Ford,FOCUS,2015,195 000 KM,Manuelle,7 CV,Essence,5,7 L,33000
Opel,Corsa,2002,168 KM,Manuelle,4 CV,Essence,5,3 L,11700
Citroen,AUTRE,2014,200 KM,Manuelle,4 CV,Essence,5,3 L,1
Kia,PICANTO,2022,22 000 KM,Manuelle,5 CV,Essence,5,3 L,43000
Peugeot,Boxer,2004,0 KM,Manuelle,9 CV,Diesel,3,21 L,0
Isuzu,D MAX,2016,247 000 KM,Manuelle,8 CV,Diesel,5,21 L,48000
Audi,A3,2001,368 000 KM,Manuelle,6 CV,Diesel,3,10 L,16500
Volkswagen,Caddy,2020,91 KM,Manuelle,7 CV,Diesel,5,11 L,45
Peugeot,106,2024,,Manuelle,5 CV,Essence,5,,10500
Nissan,Patrol,1999,480 000 KM,Manuelle,11 CV,Diesel,5,21 L,53000
Mercedes,Classe Clk,2003,270 000 KM,Manuelle,10 CV,Essence,3,11 L,32500
Volkswagen,Caddy,2016,217 KM,Manuelle,7 CV,Diesel,3,,1111111
Haval,H2,2018,123 000 KM,Manuelle,9 CV,Essence,5,6 L,59000
Mercedes,Classe C,2010,229 000 KM,Automatique,9 CV,Essence,5,7 L,43000
Volkswagen,Golf 8,2023,5 000 KM,Automatique,8 CV,Hybride,5,5 L,135000
Ford,ECOSPORT,2018,88 000 KM,Automatique,7 CV,Essence,5,1 L,62500
Jeep,WRANGLER,2018,90 000 KM,Automatique,20 CV,Essence,5,31 L,0
Audi,QUATTRO,2022,60 000 KM,Automatique,+20 CV,Essence,5,21 L,0
Citroen,NEMO,2018,150 KM,Manuelle,5 CV,Diesel,3,4 L,123
Mega,AUTRE,2002,300 000 KM,Manuelle,4 CV,Diesel,3,31 L,14000
Suzuki,Swift,2019,74 900 KM,Manuelle,5 CV,Essence,5,3 L,38000
Citroen,C3,2020,147 000 KM,Manuelle,4 CV,Essence,5,1 L,36000
Volkswagen,Vento,1995,1 000 KM,Manuelle,6 CV,Diesel,5,,6000
Citroen,JUMPY,2003,200 000 KM,Manuelle,8 CV,Diesel,5,,20000
Peugeot,Autres,2013,246 KM,Manuelle,5 CV,Essence,5,3 L,23
Volkswagen,Polo,2012,1 111 111 111 KM,Manuelle,4 CV,Diesel,5,10 L,21000
Dacia,DUSTER,2018,189 000 KM,Manuelle,6 CV,Essence,5,7 L,123
Peugeot,106,1999,281 000 KM,Manuelle,4 CV,Essence,5,2 L,7800
Renault,Clio,1999,200 KM,Manuelle,4 CV,Essence,5,1 L,16500
Peugeot,Partner,2020,131 000 KM,Manuelle,5 CV,Diesel,3,7 L,43
Peugeot,206,2001,300 000 KM,Manuelle,4 CV,Essence,5,31 L,0
Mercedes,Sprinter,2010,500 000 KM,Manuelle,7 CV,Diesel,3,21 L,1234
Peugeot,Autres,2015,25 000 KM,Manuelle,5 CV,Essence,5,3 L,24000
BYD,F3,2024,11 100 KM,Automatique,11 CV,Essence,5,11 L,170
Volkswagen,Polo,2003,200 KM,Manuelle,4 CV,Essence,5,5 L,22000
Renault,Autres,2009,170 000 KM,Manuelle,5 CV,Essence,5,5 L,23500000
Citroen,JUMPY,2019,125 000 KM,Manuelle,7 CV,Diesel,5,7 L,58
Kia,SPORTAGE,2014,10 KM,Manuelle,6 CV,Diesel,5,7 L,65000
Nissan,Qashqai,2018,100 000 KM,Automatique,6 CV,Essence,5,3 L,68500
Volkswagen,Golf,2010,247 KM,Manuelle,7 CV,Essence,5,5 L,39000
Citroen,SAXO,2002,294 000 KM,Manuelle,4 CV,Essence,5,3 L,13500
Volkswagen,Polo,2018,48 000 KM,Manuelle,4 CV,Essence,5,1 L,48300
Renault,Megane,2011,298 000 KM,Manuelle,5 CV,Diesel,5,6 L,0
Mazda,MAZDA2,2016,186 000 KM,Manuelle,6 CV,Essence,5,7 L,35000
Skoda,Autres,2021,79 000 KM,Automatique,6 CV,Essence,5,7 L,69000
Chery,Tiggo,2020,70 000 KM,Manuelle,6 CV,Essence,5,5 L,43
Fiat,PUNTO EVO,2010,22 200 000 KM,Manuelle,5 CV,Essence,5,3 L,21000000
Ford,FIESTA,1992,,Manuelle,5 CV,Diesel,5,,1
Kia,RIO,2017,136 000 KM,Manuelle,5 CV,Essence,5,7 L,38000
Opel,Corsa,2017,120 000 KM,Manuelle,5 CV,Essence,5,3 L,31000
Citroen,BERLINGO,2009,350 KM,Manuelle,5 CV,Diesel,3,7 L,25
Opel,Corsa,2015,144 000 KM,Manuelle,5 CV,Essence,5,4 L,30500
Peugeot,308,2008,400 000 KM,Manuelle,6 CV,Diesel,5,7 L,32000
Peugeot,308,2008,400 000 KM,Manuelle,6 CV,Diesel,5,7 L,32000
Renault,Autres,2010,170 000 KM,Manuelle,5 CV,Essence,5,5 L,20
Ssangyong,Tivoli,2018,148 000 KM,Manuelle,7 CV,Essence,5,7 L,0
Volkswagen,Tiguan,2008,385 000 KM,Automatique,9 CV,Diesel,5,11 L,48000
Peugeot,206,2008,230 000 KM,Manuelle,6 CV,Essence,5,5 L,16000
Mazda,MAZDA2,2017,120 000 KM,Manuelle,6 CV,Essence,5,6 L,143000
Peugeot,Expert,2020,177 000 KM,Manuelle,7 CV,Diesel,3,7 L,64
MG,Zs,2019,88 000 KM,Manuelle,7 CV,Essence,5,6 L,55000
Skoda,Karoq,2020,105 000 KM,Automatique,6 CV,Essence,5,7 L,68700
Citroen,C4,2008,250 000 KM,Manuelle,5 CV,Essence,5,3 L,19000
Kia,RIO,2020,100 KM,Manuelle,5 CV,Essence,5,3 L,0
Fiat,FIORINO,2017,170 000 KM,Manuelle,5 CV,Essence,5,5 L,33000
Isuzu,D MAX,2016,240 KM,Manuelle,8 CV,Diesel,3,16 L,0
Fiat,AUTRE,2010,134 000 KM,Manuelle,5 CV,Essence,3,,25000
Ford,FIESTA,2003,38 000 KM,Manuelle,5 CV,Essence,5,21 L,16000
Renault,Megane,2010,250 000 KM,Manuelle,6 CV,Diesel,5,6 L,26000
Renault,Megane,2010,290 000 KM,Manuelle,5 CV,Diesel,5,6 L,26
Kia,CERATO,2014,172 000 KM,Automatique,8 CV,Essence,5,7 L,35000
Mini,B,2015,90 000 KM,Manuelle,4 CV,Essence,3,5 L,42000
Mahindra,XUV 300,2023,5 500 KM,Manuelle,6 CV,Essence,5,3 L,62500
Fiat,500,2018,91 000 KM,Automatique,4 CV,Essence,3,3 L,39500
Bmw,SERIE 3 VI,2012,363 000 KM,Automatique,7 CV,Essence,5,7 L,45000
Nissan,Micra,2018,176 000 KM,Manuelle,5 CV,Essence,5,3 L,32000
Peugeot,Partner,2020,130 000 KM,Manuelle,5 CV,Diesel,3,7 L,43000
Volkswagen,Polo,2010,170 000 KM,Manuelle,4 CV,Diesel,3,3 L,23500
Opel,Astra,2003,1 111 KM,Manuelle,5 CV,Essence,5,5 L,13000
Mahindra,KUV 100,2018,76 000 KM,Manuelle,5 CV,Essence,5,10 L,26000
Renault,Megane,2009,270 000 KM,Manuelle,6 CV,Diesel,5,6 L,25000
Dacia,DOKKER,2018,143 000 KM,Manuelle,6 CV,Diesel,3,6 L,31000
Peugeot,407,2009,193 000 KM,Manuelle,6 CV,Diesel,5,7 L,28000
Renault,Megane,2006,254 394 KM,Manuelle,6 CV,Essence,5,5 L,23800
Opel,Corsa,1995,500 000 KM,Manuelle,5 CV,Essence,5,5 L,10900
Volkswagen,Golf 7,2017,129 KM,Manuelle,6 CV,Essence,5,3 L,58
Fiat,AUTRE,2000,400 000 KM,Manuelle,4 CV,Essence,5,1 L,14000
Kia,PICANTO,2019,92 500 KM,Manuelle,4 CV,Essence,5,21 L,0
Peugeot,207,2007,350 000 KM,Manuelle,6 CV,Essence,5,5 L,25000
Mitsubishi,Pajero,2010,266 000 KM,Manuelle,11 CV,Diesel,5,23 L,43000
Peugeot,208,2012,112 200 KM,Manuelle,5 CV,Essence,5,4 L,24000
Chery,Tiggo,2022,31 000 KM,Automatique,6 CV,Essence,5,1 L,57000
Volkswagen,Jetta,2018,142 000 KM,Manuelle,7 CV,Essence,5,5 L,49000
Ford,FIESTA,2017,135 KM,Manuelle,5 CV,Essence,5,4 L,12345
Volkswagen,Polo,2013,224 000 KM,Manuelle,5 CV,Essence,5,3 L,24000
Volkswagen,Amarok,2015,132 000 KM,Manuelle,11 CV,Essence,5,11 L,70000
Suzuki,Autres,2021,33 KM,Manuelle,5 CV,Essence,5,,35000
Iveco,DAILY,2007,375 000 KM,Manuelle,8 CV,Diesel,3,14 L,26000
Renault,Megane,2006,513 000 KM,Manuelle,5 CV,Diesel,5,,24000
Nissan,Autres,2014,0 KM,Manuelle,10 CV,Diesel,5,26 L,0
Fiat,AUTRE,2015,400 KM,Manuelle,5 CV,Diesel,5,5 L,30
Citroen,JUMPY,2011,,Manuelle,7 CV,Diesel,5,11 L,21000
Peugeot,206,2005,324 KM,Manuelle,5 CV,Essence,5,3 L,16
Hyundai,ELANTRA,2014,121 000 KM,Manuelle,7 CV,Essence,5,7 L,39
Peugeot,505,2018,97 000 KM,Manuelle,8 CV,Diesel,5,16 L,44
Nissan,Qashqai,2015,86 000 KM,Automatique,6 CV,Essence,5,31 L,64000
Mercedes,Classe Cla,2020,54 000 KM,Automatique,8 CV,Diesel,5,31 L,1
Citroen,C3,2008,210 KM,Manuelle,5 CV,Essence,5,5 L,21500
Chery,Tiggo,2019,85 000 KM,Manuelle,6 CV,Essence,5,3 L,39500
Fiat,PUNTO,2009,208 000 KM,Manuelle,5 CV,Essence,5,3 L,16800
Mazda,BT 50,2017,180 000 KM,Manuelle,6 CV,Essence,5,5 L,0
Kia,RIO,2010,50 000 KM,Manuelle,7 CV,Essence,5,5 L,22500
Fiat,PANDA,1995,323 416 KM,Manuelle,4 CV,Essence,3,,7000
Renault,Autres,1992,304 689 KM,Manuelle,4 CV,Essence,5,,6000
Volkswagen,Passat,2002,2 600 000 KM,Manuelle,7 CV,Diesel,5,11 L,25000
Fiat,PUNTO,2007,141 000 KM,Manuelle,5 CV,Essence,5,3 L,0
Mahindra,KUV 100,2019,95 000 KM,Manuelle,5 CV,Essence,5,,26000
Ford,FIESTA,2007,200 000 KM,Manuelle,5 CV,Essence,5,3 L,21500
Kia,PICANTO,2017,126 053 KM,Manuelle,4 CV,Essence,5,21 L,35000
Peugeot,Expert,2014,185 000 KM,Manuelle,7 CV,Diesel,3,11 L,49000
Mercedes,Classe C,2017,90 KM,Automatique,8 CV,Essence,5,21 L,155000
Chevrolet,SPARK,2016,137 000 KM,Manuelle,5 CV,Essence,5,3 L,29500
Chevrolet,AVEO,2023,122 KM,Automatique,4 CV,Diesel,3,19 L,12
Peugeot,206,2012,0 KM,Manuelle,4 CV,Diesel,5,1 L,10
Citroen,XSARA,2005,500 KM,Manuelle,5 CV,Diesel,5,3 L,12500
Bmw,X5,2008,144 000 KM,Automatique,19 CV,Essence,5,21 L,79
Mercedes,Classe E,2004,282 000 KM,Automatique,9 CV,Diesel,5,11 L,38000
Kia,SPORTAGE,2018,156 000 KM,Automatique,8 CV,Essence,5,7 L,86000
Dacia,DUSTER,2018,185 000 KM,Manuelle,7 CV,Essence,5,7 L,50000
Chery,Tiggo,2020,67 000 KM,Manuelle,6 CV,Essence,5,3 L,30000
Mercedes,Classe C,2013,207 000 KM,Automatique,9 CV,Essence,5,9 L,50000
Fiat,500,2014,234 500 KM,Manuelle,4 CV,Essence,3,3 L,34500
Haval,H6,2020,105 000 KM,Automatique,9 CV,Essence,5,6 L,85
Volkswagen,Polo,2008,299 093 KM,Manuelle,4 CV,Diesel,5,5 L,18
Chery,QQ,2019,37 000 KM,Manuelle,4 CV,Essence,5,1 L,24800
Audi,A4,2003,240 KM,Manuelle,7 CV,Essence,5,7 L,25000
Renault,Clio,2001,0 KM,Manuelle,4 CV,Essence,5,3 L,18
Audi,100,2024,120 KM,Automatique,4 CV,Diesel,3,18 L,12
Bmw,316,2010,170 KM,Manuelle,7 CV,Essence,5,7 L,0
Ford,ORION,1991,5 000 KM,Manuelle,6 CV,Essence,5,7 L,10
Suzuki,Celerio,2020,97 000 KM,Manuelle,4 CV,Essence,5,,31000
Kia,RIO,2019,78 000 KM,Manuelle,5 CV,Essence,5,3 L,59000
Nissan,Juke,2015,116 000 KM,Manuelle,6 CV,Essence,5,,42000
Bmw,SERIE 4,2016,126 000 KM,Automatique,10 CV,Essence,5,11 L,100000
Tata,TATA XENON X2,2019,133 000 KM,Manuelle,7 CV,Diesel,5,,35000
Peugeot,Partner,2016,202 000 KM,Manuelle,5 CV,Diesel,3,10 L,29000
Fiat,GRANDE PUNTO,2014,170 000 KM,Manuelle,4 CV,Essence,5,3 L,26500
Bmw,520,2019,220 000 KM,Automatique,9 CV,Essence,5,31 L,140000
MG,Autres,2018,210 000 KM,Automatique,6 CV,Essence,5,7 L,37000
Toyota,Avensis,2013,336 000 KM,Manuelle,6 CV,Essence,5,4 L,27000
Ford,FIESTA,2005,296 000 KM,Manuelle,5 CV,Essence,5,3 L,20000
Ford,FUSION,2010,145 000 KM,Manuelle,5 CV,Essence,5,,24500
Fiat,AUTRE,2011,213 000 KM,Manuelle,7 CV,Essence,5,5 L,22000
Haval,Jolion,2021,24 000 KM,Automatique,9 CV,Essence,5,5 L,82000
Dacia,DOKKER,2022,62 000 KM,Manuelle,6 CV,Diesel,5,7 L,41000
Citroen,C3,2017,120 000 KM,Manuelle,4 CV,Essence,5,1 L,36000
Mini,AUTRE,2009,202 000 KM,Manuelle,7 CV,Essence,3,,28000
MG,Autres,2020,132 000 KM,Automatique,9 CV,Essence,5,6 L,68900
MG,Autres,2020,157 000 KM,Automatique,9 CV,Essence,5,6 L,80000
Chevrolet,CRUZE,2018,140 KM,Manuelle,7 CV,Essence,5,7 L,34
Mitsubishi,Pajero,2003,326 000 KM,Automatique,12 CV,Diesel,5,23 L,58000
Citroen,C4,2013,1 234 KM,Manuelle,5 CV,Diesel,5,,123
Volkswagen,Golf,2014,183 000 KM,Automatique,5 CV,Essence,5,3 L,55000
Peugeot,308,2011,190 KM,Manuelle,5 CV,Essence,5,,24
Peugeot,208,2015,155 000 KM,Manuelle,5 CV,Essence,5,2 L,31500
Fiat,GRANDE PUNTO,2012,148 000 KM,Manuelle,4 CV,Essence,5,3 L,26000
Honda,ACTY,2019,84 180 KM,Automatique,7 CV,Essence,5,21 L,450000
Peugeot,508,2012,260 KM,Manuelle,9 CV,Essence,5,7 L,31000
Opel,Astra,2002,230 000 KM,Manuelle,5 CV,Essence,5,3 L,19000
Mercedes,Classe E,2004,282 000 KM,Automatique,9 CV,Essence,4,,38000
