Marque,Modèle,year,horsepower,road,boite,fuel,cylindrée,nbre_portes,Negociable,Prix
Peugeot,206,2012,4 CV,110 000 KM,Manuelle,Essence,5,,Négociable,22700
Kia,RIO,2022,5 CV,133 KM,Automatique,Essence,3 L,5,Négociable,59000
Peugeot,307,2006,6 CV,490 000 KM,Manuelle,Essence,5,,Négociable,25000
Mazda,CX-5,2018,9 CV,30 000 KM,Automatique,Diesel,,,,140000
Great-wall,MK-GT,2021,6 CV,36 000 KM,Manuelle,Essence,3 L,5,Négociable,45500
Mazda,MAZDA6,2018,8 CV,157 000 KM,Automatique,Essence,11 L,5,Négociable,61
Audi,Q3,2019,6 CV,77 000 KM,Automatique,Essence,1 L,5,,95000
Peugeot,405,1971,4 CV,1 KM,Manuelle,Diesel,5,,Négociable,22000
Peugeot,508,2019,7 CV,112 000 KM,Automatique,Diesel,6 L,5,Négociable,95000
Mahindra,KUV 100,2018,5 CV,68 000 KM,Manuelle,Essence,3 L,5,,26800
Skoda,Octavia,2015,7 CV,181 000 KM,Automatique,Essence,5 L,5,,41000
Hyundai,I10,2020,5 CV,142 000 KM,Manuelle,Essence,3 L,5,Négociable,33
Opel,Corsa,1999,4 CV,100 000 KM,Manuelle,Essence,4 L,5,Négociable,11000
Volkswagen,Tiguan,2019,6 CV,49 000 KM,Manuelle,Essence,1 L,5,Négociable,95
Kia,SPORTAGE,2022,7 CV,80 KM,Automatique,Hybride,6 L,5,,0
Ssangyong,Tivoli,2021,6 CV,130 KM,Manuelle,Essence,3 L,5,Négociable,65
Chery,QQ,2018,4 CV,100 000 KM,Manuelle,Essence,1 L,5,,21000
Dacia,SANDERO,2014,5 CV,154 KM,Manuelle,Essence,1 L,5,,36
Peugeot,208,2016,5 CV,164 000 KM,Manuelle,Essence,3 L,5,Négociable,28000
Mercedes,Classe C,2016,8 CV,110 340 KM,Manuelle,Essence,9 L,5,,90
Volkswagen,Polo,2001,5 CV,280 KM,Manuelle,Essence,5 L,5,Négociable,16000
Volkswagen,Polo,1998,4 CV,555 KM,Manuelle,Essence,1 L,5,,13200
Renault,Clio,2003,5 CV,304 000 KM,Manuelle,Essence,3 L,5,Négociable,11111
Chevrolet,AVEO,2012,5 CV,100 000 KM,Manuelle,Essence,3 L,5,Négociable,18000
Kia,RIO,2018,5 CV,101 000 KM,Manuelle,Essence,3 L,5,Négociable,41000
Peugeot,108,2017,4 CV,114 KM,Manuelle,Essence,3 L,5,Négociable,30000
Ssangyong,Actyon,2017,7 CV,260 000 KM,Manuelle,Diesel,7 L,5,Négociable,50
Peugeot,106,1994,5 CV,450 KM,Manuelle,Essence,5 L,5,Négociable,111
Peugeot,208,2019,5 CV,95 000 KM,Manuelle,Essence,3 L,5,Négociable,34
Suzuki,Swift,2018,5 CV,131 KM,Manuelle,Essence,5,,Négociable,34
Hyundai,I20,2016,4 CV,245 000 KM,Manuelle,Essence,2 L,5,Négociable,34000
Honda,CIVIC,2020,10 CV,155 000 KM,Automatique,Essence,6 L,5,Négociable,80000
Fiat,PALIO WEEKEND,2008,4 CV,120 000 KM,Manuelle,Essence,3 L,5,,14500
Peugeot,106,1997,4 CV,0 KM,Manuelle,Essence,31 L,5,Négociable,11900
Ford,AUTRE,2013,5 CV,232 KM,Manuelle,Essence,3 L,5,,20500
Seat,Ibiza,2023,6 CV,31 000 KM,Automatique,Essence,1 L,5,,0
Kia,RIO,2022,5 CV,86 000 KM,Manuelle,Essence,3 L,5,Négociable,63500
Bmw,AUTRE,2009,6 CV,300 KM,Manuelle,Diesel,7 L,5,,1
Renault,Clio,2024,6 CV,14 000 KM,Manuelle,Essence,1 L,5,Négociable,62500
Volkswagen,Golf,2012,6 CV,245 000 KM,Manuelle,Diesel,7 L,3,,33500
Audi,A4,2012,7 CV,250 000 KM,Manuelle,Essence,9 L,5,Négociable,37
Peugeot,207,2012,5 CV,260 000 KM,Manuelle,Essence,5 L,5,Négociable,26500
Citroen,C4,2012,6 CV,192 000 KM,Manuelle,Essence,5 L,5,,25000
Ford,FOCUS,2012,6 CV,230 000 KM,Manuelle,Essence,7 L,,,30000
Mercedes,Classe Glk,2009,16 CV,66 000 KM,Automatique,Essence,21 L,5,Négociable,80000
Volkswagen,Jetta,2011,7 CV,289 000 KM,Manuelle,Essence,7 L,5,Négociable,34500
Mercedes,Classe C,2012,9 CV,168 350 KM,Automatique,Essence,7 L,5,Négociable,80000
Renault,Clio,2021,5 CV,150 000 KM,Manuelle,Essence,5 L,5,Négociable,44000
Citroen,AUTRE,2017,5 CV,140 000 KM,Manuelle,Essence,3 L,5,Négociable,1
Citroen,AUTRE,2015,4 CV,154 000 KM,Manuelle,Essence,1 L,5,Négociable,23500
Volkswagen,Golf,2021,7 CV,100 KM,Manuelle,Essence,6 L,5,Négociable,95
Peugeot,Partner,2011,7 CV,350 000 KM,Manuelle,Diesel,10 L,3,Négociable,17
Renault,Autres,2017,5 CV,200 000 KM,Manuelle,Essence,5 L,5,,40000
Hyundai,I10,2017,5 CV,97 000 KM,Manuelle,Essence,3 L,5,Négociable,39900
Kia,RIO,2022,5 CV,57 000 KM,Manuelle,Essence,3 L,5,,63000
Renault,Zoe,2010,5 CV,83 KM,Manuelle,Essence,3 L,5,Négociable,28886696
Renault,Kadjar,2019,7 CV,160 000 KM,Automatique,Essence,5,,Négociable,55000
Volkswagen,Caddy,2017,5 CV,180 KM,Manuelle,Diesel,7 L,3,Négociable,42
Mercedes,Classe E,2017,10 CV,60 000 KM,Automatique,Essence,7 L,3,Négociable,185000
Hyundai,TUCSON,2022,7 CV,42 000 KM,Automatique,Diesel,7 L,5,,135000
Mercedes,Classe E,2017,9 CV,106 000 KM,Automatique,Essence,7 L,5,Négociable,127000
Mercedes,Classe C,2014,8 CV,223 000 KM,Automatique,Essence,7 L,5,Négociable,75000
Kia,SPORTAGE,2020,11 CV,93 000 KM,Automatique,Essence,7 L,5,Négociable,95000
Volkswagen,Golf,2012,6 CV,300 KM,Manuelle,Diesel,6 L,5,,39
Peugeot,407,2008,6 CV,450 000 KM,Manuelle,Diesel,7 L,5,Négociable,21000000
Ford,FOCUS,2007,6 CV,220 KM,Manuelle,Essence,5 L,5,Négociable,24500
Suzuki,Autres,2023,5 CV,3 800 KM,Manuelle,Essence,2 L,5,Négociable,0
Chevrolet,TRAX,2019,8 CV,71 000 KM,Manuelle,Essence,5 L,5,Négociable,52900
Toyota,Yaris,2018,4 CV,117 000 KM,Manuelle,Essence,1 L,5,Négociable,35800
Toyota,Yaris,2018,4 CV,117 000 KM,Manuelle,Essence,1 L,5,Négociable,35800
Toyota,Yaris,2018,4 CV,117 000 KM,Manuelle,Essence,1 L,5,Négociable,35800
Toyota,Yaris,2018,4 CV,117 000 KM,Manuelle,Essence,1 L,5,Négociable,35800
Peugeot,206,2002,7 CV,230 KM,Manuelle,Essence,8 L,5,Négociable,16000
Peugeot,208,2018,5 CV,61 500 KM,Manuelle,Essence,3 L,5,Négociable,30
Peugeot,206,1991,5 CV,13 KM,Manuelle,Diesel,10 L,5,Négociable,14
Volkswagen,Polo,2018,4 CV,140 000 KM,Manuelle,Essence,5 L,5,Négociable,42000
Renault,Clio,2018,4 CV,110 000 KM,Manuelle,Essence,3 L,5,,37000
Hyundai,I10,2017,4 CV,1 600 000 KM,Manuelle,Essence,3 L,5,,250000
Renault,Clio,2016,5 CV,108 KM,Manuelle,Essence,3 L,5,,41
Volkswagen,Polo,2005,4 CV,200 000 KM,Manuelle,Essence,7 L,5,Négociable,9000
